complaint_id,type,state,city,amount_lost,age,gender,date,description,status
55,Credit Card Fraud,Maharashtra,Mumbai,31791,44,Male,2023-06-27 00:00:00,Victim reported credit card fraud incident in Mumbai.,Under Investigation
56,KYC Scam,Maharashtra,Pune,36075,42,Male,2023-02-15 00:00:00,Victim reported kyc scam incident in Pune.,Under Investigation
57,Identity Theft,Maharashtra,Mumbai,33095,53,Female,2023-04-30 00:00:00,Victim reported identity theft incident in Mumbai.,Closed
58,Social Media Hack,Maharashtra,Mumbai,8162,29,Female,2023-03-02 00:00:00,Victim reported social media hack incident in Mumbai.,Closed
59,KYC Scam,Maharashtra,Pune,43089,50,Female,2023-06-06 00:00:00,Victim reported kyc scam incident in Pune.,Under Investigation
60,Phishing,Maharashtra,Pune,15043,43,Female,2023-09-20 00:00:00,Victim reported phishing incident in Pune.,Open
61,Credit Card Fraud,Maharashtra,Nagpur,33515,50,Male,2023-12-19 00:00:00,Victim reported credit card fraud incident in Nagpur.,Under Investigation
62,Crypto Scam,Maharashtra,Mumbai,11055,25,Male,2023-06-08 00:00:00,Victim reported crypto scam incident in Mumbai.,Open
63,KYC Scam,Maharashtra,Nagpur,1636,49,Male,2023-02-07 00:00:00,Victim reported kyc scam incident in Nagpur.,Open
64,Online Shopping Fraud,Maharashtra,Pune,3552,39,Female,2023-08-20 00:00:00,Victim reported online shopping fraud incident in Pune.,Closed
65,Identity Theft,Maharashtra,Pune,24848,40,Female,2023-01-28 00:00:00,Victim reported identity theft incident in Pune.,Open
66,UPI Fraud,Maharashtra,Nagpur,12235,51,Male,2023-04-10 00:00:00,Victim reported upi fraud incident in Nagpur.,Open
67,Online Shopping Fraud,Maharashtra,Nagpur,37688,34,Male,2023-08-07 00:00:00,Victim reported online shopping fraud incident in Nagpur.,Under Investigation
68,UPI Fraud,Maharashtra,Pune,35026,35,Male,2023-04-03 00:00:00,Victim reported upi fraud incident in Pune.,Open
69,Crypto Scam,Maharashtra,Pune,24655,47,Male,2023-01-02 00:00:00,Victim reported crypto scam incident in Pune.,Closed
70,KYC Scam,Maharashtra,Mumbai,35274,26,Male,2023-05-05 00:00:00,Victim reported kyc scam incident in Mumbai.,Open
71,Job Scam,Maharashtra,Nagpur,10877,28,Male,2023-11-09 00:00:00,Victim reported job scam incident in Nagpur.,Closed
72,Crypto Scam,Maharashtra,Pune,12032,21,Male,2023-11-14 00:00:00,Victim reported crypto scam incident in Pune.,Closed
73,Online Shopping Fraud,Maharashtra,Nagpur,13921,24,Male,2023-02-16 00:00:00,Victim reported online shopping fraud incident in Nagpur.,Closed
74,KYC Scam,Maharashtra,Nagpur,27149,27,Male,2023-08-07 00:00:00,Victim reported kyc scam incident in Nagpur.,Closed
75,KYC Scam,Maharashtra,Nagpur,34600,29,Male,2023-01-09 00:00:00,Victim reported kyc scam incident in Nagpur.,Under Investigation
76,Phishing,Maharashtra,Pune,872,37,Male,2023-02-06 00:00:00,Victim reported phishing incident in Pune.,Open
77,Job Scam,Maharashtra,Nagpur,19877,30,Female,2023-10-14 00:00:00,Victim reported job scam incident in Nagpur.,Closed
78,Loan Scam,Maharashtra,Nagpur,24367,57,Female,2023-04-26 00:00:00,Victim reported loan scam incident in Nagpur.,Closed
79,Crypto Scam,Maharashtra,Nagpur,39810,30,Male,2023-02-11 00:00:00,Victim reported crypto scam incident in Nagpur.,Closed
80,Social Media Hack,Maharashtra,Mumbai,24891,46,Male,2023-07-07 00:00:00,Victim reported social media hack incident in Mumbai.,Closed
81,Online Shopping Fraud,Maharashtra,Nagpur,33955,46,Female,2023-01-01 00:00:00,Victim reported online shopping fraud incident in Nagpur.,Open
82,Online Shopping Fraud,Maharashtra,Mumbai,38621,58,Male,2023-04-07 00:00:00,Victim reported online shopping fraud incident in Mumbai.,Under Investigation
83,UPI Fraud,Maharashtra,Mumbai,40399,55,Female,2024-01-01 00:00:00,Victim reported upi fraud incident in Mumbai.,Under Investigation
84,Credit Card Fraud,Maharashtra,Mumbai,7410,59,Male,2023-10-16 00:00:00,Victim reported credit card fraud incident in Mumbai.,Open
85,Identity Theft,Maharashtra,Mumbai,34315,59,Female,2023-05-13 00:00:00,Victim reported identity theft incident in Mumbai.,Closed
86,Crypto Scam,Maharashtra,Pune,17694,48,Male,2023-07-31 00:00:00,Victim reported crypto scam incident in Pune.,Open
87,Phishing,Maharashtra,Pune,48055,33,Male,2023-12-01 00:00:00,Victim reported phishing incident in Pune.,Open
88,Crypto Scam,Maharashtra,Nagpur,40027,21,Male,2023-05-17 00:00:00,Victim reported crypto scam incident in Nagpur.,Under Investigation
89,Identity Theft,Maharashtra,Mumbai,2121,50,Male,2023-11-07 00:00:00,Victim reported identity theft incident in Mumbai.,Closed
90,Online Shopping Fraud,Maharashtra,Nagpur,42801,33,Female,2023-09-25 00:00:00,Victim reported online shopping fraud incident in Nagpur.,Closed
91,KYC Scam,Maharashtra,Nagpur,46934,33,Female,2023-07-13 00:00:00,Victim reported kyc scam incident in Nagpur.,Under Investigation
92,Crypto Scam,Maharashtra,Mumbai,39438,49,Male,2023-06-30 00:00:00,Victim reported crypto scam incident in Mumbai.,Open
93,Online Shopping Fraud,Maharashtra,Pune,14458,39,Female,2023-02-03 00:00:00,Victim reported online shopping fraud incident in Pune.,Closed
94,Loan Scam,Maharashtra,Nagpur,14230,24,Female,2023-11-10 00:00:00,Victim reported loan scam incident in Nagpur.,Under Investigation
95,Identity Theft,Maharashtra,Mumbai,37028,44,Female,2023-04-25 00:00:00,Victim reported identity theft incident in Mumbai.,Open
96,Crypto Scam,Maharashtra,Pune,40556,26,Female,2023-10-29 00:00:00,Victim reported crypto scam incident in Pune.,Under Investigation
97,Online Shopping Fraud,Maharashtra,Nagpur,17896,54,Female,2023-08-03 00:00:00,Victim reported online shopping fraud incident in Nagpur.,Closed
98,KYC Scam,Maharashtra,Mumbai,44565,23,Male,2023-06-24 00:00:00,Victim reported kyc scam incident in Mumbai.,Closed
99,Credit Card Fraud,Maharashtra,Pune,21802,20,Male,2023-02-16 00:00:00,Victim reported credit card fraud incident in Pune.,Open
100,Loan Scam,Maharashtra,Nagpur,38095,41,Female,2023-06-07 00:00:00,Victim reported loan scam incident in Nagpur.,Closed
101,Phishing,Maharashtra,Mumbai,37495,31,Male,2023-07-14 00:00:00,Victim reported phishing incident in Mumbai.,Under Investigation
102,Identity Theft,Maharashtra,Nagpur,14961,45,Male,2023-10-08 00:00:00,Victim reported identity theft incident in Nagpur.,Open
103,UPI Fraud,Maharashtra,Pune,20314,46,Male,2023-03-03 00:00:00,Victim reported upi fraud incident in Pune.,Open
104,Loan Scam,Maharashtra,Mumbai,42072,22,Female,2023-12-19 00:00:00,Victim reported loan scam incident in Mumbai.,Open
105,Crypto Scam,Maharashtra,Mumbai,1249,27,Female,2023-06-01 00:00:00,Victim reported crypto scam incident in Mumbai.,Under Investigation
106,KYC Scam,Maharashtra,Mumbai,44399,46,Male,2023-04-10 00:00:00,Victim reported kyc scam incident in Mumbai.,Open
107,KYC Scam,Maharashtra,Pune,18392,42,Female,2023-11-17 00:00:00,Victim reported kyc scam incident in Pune.,Open
108,Credit Card Fraud,Maharashtra,Mumbai,42843,38,Female,2023-10-11 00:00:00,Victim reported credit card fraud incident in Mumbai.,Under Investigation
109,Job Scam,Maharashtra,Nagpur,7800,21,Male,2023-02-28 00:00:00,Victim reported job scam incident in Nagpur.,Under Investigation
110,Crypto Scam,Maharashtra,Mumbai,44938,56,Male,2023-08-07 00:00:00,Victim reported crypto scam incident in Mumbai.,Open
111,Social Media Hack,Maharashtra,Mumbai,34392,55,Male,2023-03-15 00:00:00,Victim reported social media hack incident in Mumbai.,Open
112,Job Scam,Maharashtra,Mumbai,23113,26,Male,2023-11-05 00:00:00,Victim reported job scam incident in Mumbai.,Closed
113,Identity Theft,Maharashtra,Nagpur,15199,30,Male,2023-06-05 00:00:00,Victim reported identity theft incident in Nagpur.,Closed
114,Loan Scam,Maharashtra,Pune,39564,39,Male,2023-12-21 00:00:00,Victim reported loan scam incident in Pune.,Open
115,Online Shopping Fraud,Maharashtra,Nagpur,16379,20,Female,2023-08-16 00:00:00,Victim reported online shopping fraud incident in Nagpur.,Under Investigation
116,Phishing,Maharashtra,Nagpur,45910,35,Male,2023-11-23 00:00:00,Victim reported phishing incident in Nagpur.,Closed
117,UPI Fraud,Maharashtra,Mumbai,45273,52,Male,2023-12-01 00:00:00,Victim reported upi fraud incident in Mumbai.,Open
118,Crypto Scam,Maharashtra,Mumbai,11049,19,Male,2023-03-14 00:00:00,Victim reported crypto scam incident in Mumbai.,Open
119,Online Shopping Fraud,Maharashtra,Nagpur,15264,28,Female,2023-01-02 00:00:00,Victim reported online shopping fraud incident in Nagpur.,Under Investigation
120,Job Scam,Maharashtra,Pune,37201,55,Female,2023-07-19 00:00:00,Victim reported job scam incident in Pune.,Open
121,Credit Card Fraud,Maharashtra,Nagpur,25073,57,Female,2023-05-30 00:00:00,Victim reported credit card fraud incident in Nagpur.,Closed
122,Job Scam,Maharashtra,Mumbai,48644,60,Female,2023-04-27 00:00:00,Victim reported job scam incident in Mumbai.,Closed
123,Loan Scam,Maharashtra,Nagpur,26309,37,Male,2023-12-21 00:00:00,Victim reported loan scam incident in Nagpur.,Open
124,Loan Scam,Maharashtra,Pune,40489,22,Male,2023-11-08 00:00:00,Victim reported loan scam incident in Pune.,Under Investigation
125,Social Media Hack,Maharashtra,Mumbai,28795,34,Female,2023-03-15 00:00:00,Victim reported social media hack incident in Mumbai.,Under Investigation
126,Online Shopping Fraud,Maharashtra,Pune,40545,24,Female,2023-09-19 00:00:00,Victim reported online shopping fraud incident in Pune.,Open
127,Crypto Scam,Maharashtra,Nagpur,3627,49,Male,2023-04-16 00:00:00,Victim reported crypto scam incident in Nagpur.,Closed
128,Identity Theft,Maharashtra,Mumbai,47555,39,Female,2023-09-05 00:00:00,Victim reported identity theft incident in Mumbai.,Open
129,Credit Card Fraud,Maharashtra,Pune,42545,27,Female,2023-02-06 00:00:00,Victim reported credit card fraud incident in Pune.,Under Investigation
130,KYC Scam,Maharashtra,Pune,12367,18,Female,2023-06-13 00:00:00,Victim reported kyc scam incident in Pune.,Open
131,Credit Card Fraud,Maharashtra,Nagpur,36558,42,Male,2023-07-20 00:00:00,Victim reported credit card fraud incident in Nagpur.,Under Investigation
132,UPI Fraud,Maharashtra,Pune,4815,54,Male,2023-10-08 00:00:00,Victim reported upi fraud incident in Pune.,Closed
133,Social Media Hack,Maharashtra,Mumbai,21690,46,Female,2023-03-11 00:00:00,Victim reported social media hack incident in Mumbai.,Open
134,Social Media Hack,Maharashtra,Mumbai,35856,42,Female,2023-09-11 00:00:00,Victim reported social media hack incident in Mumbai.,Under Investigation
135,Online Shopping Fraud,Maharashtra,Nagpur,17260,46,Male,2023-05-30 00:00:00,Victim reported online shopping fraud incident in Nagpur.,Closed
136,Phishing,Maharashtra,Pune,46992,57,Female,2023-07-30 00:00:00,Victim reported phishing incident in Pune.,Open
137,Phishing,Maharashtra,Mumbai,47069,48,Male,2023-07-19 00:00:00,Victim reported phishing incident in Mumbai.,Under Investigation
138,Job Scam,Maharashtra,Pune,12481,47,Male,2023-12-14 00:00:00,Victim reported job scam incident in Pune.,Closed
139,Job Scam,Maharashtra,Mumbai,49495,39,Female,2023-03-12 00:00:00,Victim reported job scam incident in Mumbai.,Open
140,Online Shopping Fraud,Maharashtra,Pune,43247,30,Male,2023-05-11 00:00:00,Victim reported online shopping fraud incident in Pune.,Closed
141,Credit Card Fraud,Maharashtra,Pune,18961,45,Female,2023-12-09 00:00:00,Victim reported credit card fraud incident in Pune.,Open
142,Online Shopping Fraud,Maharashtra,Pune,2849,39,Female,2023-11-11 00:00:00,Victim reported online shopping fraud incident in Pune.,Under Investigation
143,Crypto Scam,Maharashtra,Nagpur,46492,41,Male,2023-10-24 00:00:00,Victim reported crypto scam incident in Nagpur.,Open
144,Phishing,Maharashtra,Mumbai,13679,21,Male,2023-06-10 00:00:00,Victim reported phishing incident in Mumbai.,Under Investigation
145,Identity Theft,Maharashtra,Pune,23560,60,Female,2023-02-11 00:00:00,Victim reported identity theft incident in Pune.,Under Investigation
146,Credit Card Fraud,Maharashtra,Mumbai,13697,27,Female,2023-07-07 00:00:00,Victim reported credit card fraud incident in Mumbai.,Closed
147,Crypto Scam,Maharashtra,Mumbai,3015,31,Male,2023-01-05 00:00:00,Victim reported crypto scam incident in Mumbai.,Under Investigation
148,Credit Card Fraud,Maharashtra,Nagpur,4920,60,Female,2023-08-27 00:00:00,Victim reported credit card fraud incident in Nagpur.,Closed
149,Crypto Scam,Maharashtra,Nagpur,29142,40,Female,2023-02-14 00:00:00,Victim reported crypto scam incident in Nagpur.,Under Investigation
150,Phishing,Maharashtra,Pune,45682,50,Female,2023-07-23 00:00:00,Victim reported phishing incident in Pune.,Open
151,Online Shopping Fraud,Maharashtra,Nagpur,25816,53,Male,2023-12-07 00:00:00,Victim reported online shopping fraud incident in Nagpur.,Under Investigation
152,Social Media Hack,Maharashtra,Pune,21764,29,Female,2023-10-06 00:00:00,Victim reported social media hack incident in Pune.,Open
153,Credit Card Fraud,Maharashtra,Pune,34249,51,Female,2023-11-21 00:00:00,Victim reported credit card fraud incident in Pune.,Under Investigation
154,KYC Scam,Maharashtra,Mumbai,43110,47,Male,2023-02-13 00:00:00,Victim reported kyc scam incident in Mumbai.,Open
155,UPI Fraud,Maharashtra,Nagpur,33420,18,Male,2023-10-02 00:00:00,Victim reported upi fraud incident in Nagpur.,Closed
156,Job Scam,Maharashtra,Mumbai,16401,23,Male,2023-05-25 00:00:00,Victim reported job scam incident in Mumbai.,Open
157,KYC Scam,Maharashtra,Pune,12605,34,Male,2023-10-31 00:00:00,Victim reported kyc scam incident in Pune.,Closed
158,Social Media Hack,Maharashtra,Nagpur,29725,50,Female,2023-07-28 00:00:00,Victim reported social media hack incident in Nagpur.,Closed
159,Online Shopping Fraud,Maharashtra,Mumbai,17408,20,Male,2023-10-20 00:00:00,Victim reported online shopping fraud incident in Mumbai.,Under Investigation
160,Crypto Scam,Maharashtra,Nagpur,6684,44,Male,2023-02-06 00:00:00,Victim reported crypto scam incident in Nagpur.,Under Investigation
161,Online Shopping Fraud,Maharashtra,Mumbai,37266,34,Male,2023-03-25 00:00:00,Victim reported online shopping fraud incident in Mumbai.,Under Investigation
162,Loan Scam,Maharashtra,Pune,2670,44,Male,2023-09-11 00:00:00,Victim reported loan scam incident in Pune.,Under Investigation
163,Social Media Hack,Maharashtra,Mumbai,36894,40,Male,2023-02-21 00:00:00,Victim reported social media hack incident in Mumbai.,Open
164,Job Scam,Maharashtra,Mumbai,23538,54,Male,2023-11-15 00:00:00,Victim reported job scam incident in Mumbai.,Open
165,Social Media Hack,Maharashtra,Mumbai,41604,47,Female,2023-01-25 00:00:00,Victim reported social media hack incident in Mumbai.,Closed
166,Phishing,Maharashtra,Pune,30941,39,Female,2023-06-26 00:00:00,Victim reported phishing incident in Pune.,Closed
167,Loan Scam,Maharashtra,Nagpur,42213,60,Female,2023-02-20 00:00:00,Victim reported loan scam incident in Nagpur.,Under Investigation
168,Social Media Hack,Maharashtra,Mumbai,12733,21,Male,2023-12-03 00:00:00,Victim reported social media hack incident in Mumbai.,Open
169,Phishing,Maharashtra,Pune,48223,38,Female,2023-03-28 00:00:00,Victim reported phishing incident in Pune.,Under Investigation
170,Online Shopping Fraud,Maharashtra,Nagpur,25836,22,Female,2023-12-12 00:00:00,Victim reported online shopping fraud incident in Nagpur.,Closed
171,Identity Theft,Maharashtra,Mumbai,28965,38,Female,2023-10-23 00:00:00,Victim reported identity theft incident in Mumbai.,Under Investigation
172,Online Shopping Fraud,Maharashtra,Pune,14368,25,Male,2023-06-20 00:00:00,Victim reported online shopping fraud incident in Pune.,Open
173,Online Shopping Fraud,Maharashtra,Pune,20982,42,Male,2023-11-18 00:00:00,Victim reported online shopping fraud incident in Pune.,Open
174,Job Scam,Maharashtra,Nagpur,9638,51,Female,2023-09-05 00:00:00,Victim reported job scam incident in Nagpur.,Closed
175,Online Shopping Fraud,Maharashtra,Nagpur,26263,53,Female,2023-03-28 00:00:00,Victim reported online shopping fraud incident in Nagpur.,Closed
176,Online Shopping Fraud,Maharashtra,Mumbai,6720,23,Female,2023-01-31 00:00:00,Victim reported online shopping fraud incident in Mumbai.,Closed
177,Crypto Scam,Maharashtra,Mumbai,21862,30,Male,2023-11-30 00:00:00,Victim reported crypto scam incident in Mumbai.,Closed
178,Identity Theft,Maharashtra,Nagpur,40271,38,Female,2023-10-27 00:00:00,Victim reported identity theft incident in Nagpur.,Open
179,KYC Scam,Maharashtra,Nagpur,24004,26,Female,2023-09-17 00:00:00,Victim reported kyc scam incident in Nagpur.,Under Investigation
180,Crypto Scam,Maharashtra,Pune,12730,27,Female,2023-06-18 00:00:00,Victim reported crypto scam incident in Pune.,Under Investigation
181,KYC Scam,Maharashtra,Mumbai,41675,30,Male,2023-06-16 00:00:00,Victim reported kyc scam incident in Mumbai.,Under Investigation
182,Phishing,Maharashtra,Pune,16067,60,Female,2023-03-27 00:00:00,Victim reported phishing incident in Pune.,Open
183,KYC Scam,Maharashtra,Mumbai,19976,44,Male,2023-06-17 00:00:00,Victim reported kyc scam incident in Mumbai.,Closed
184,UPI Fraud,Maharashtra,Mumbai,26704,45,Female,2023-09-26 00:00:00,Victim reported upi fraud incident in Mumbai.,Closed
185,Social Media Hack,Maharashtra,Pune,28851,33,Female,2023-08-09 00:00:00,Victim reported social media hack incident in Pune.,Closed
186,UPI Fraud,Maharashtra,Pune,33049,43,Male,2023-07-12 00:00:00,Victim reported upi fraud incident in Pune.,Closed
187,Credit Card Fraud,Maharashtra,Pune,30770,60,Male,2023-08-13 00:00:00,Victim reported credit card fraud incident in Pune.,Closed
188,KYC Scam,Maharashtra,Mumbai,43548,26,Male,2023-01-22 00:00:00,Victim reported kyc scam incident in Mumbai.,Closed
189,Identity Theft,Maharashtra,Nagpur,47091,36,Female,2023-04-18 00:00:00,Victim reported identity theft incident in Nagpur.,Under Investigation
190,KYC Scam,Maharashtra,Nagpur,47671,26,Male,2023-04-09 00:00:00,Victim reported kyc scam incident in Nagpur.,Under Investigation
191,Online Shopping Fraud,Maharashtra,Nagpur,24183,44,Female,2023-07-22 00:00:00,Victim reported online shopping fraud incident in Nagpur.,Open
192,Identity Theft,Maharashtra,Pune,15482,54,Male,2023-05-31 00:00:00,Victim reported identity theft incident in Pune.,Under Investigation
193,Job Scam,Maharashtra,Nagpur,16662,47,Female,2023-03-29 00:00:00,Victim reported job scam incident in Nagpur.,Under Investigation
194,Phishing,Maharashtra,Nagpur,20307,55,Male,2023-04-09 00:00:00,Victim reported phishing incident in Nagpur.,Closed
195,Phishing,Maharashtra,Mumbai,11705,43,Female,2023-06-27 00:00:00,Victim reported phishing incident in Mumbai.,Open
196,Social Media Hack,Maharashtra,Pune,32730,57,Male,2023-12-07 00:00:00,Victim reported social media hack incident in Pune.,Closed
197,Social Media Hack,Maharashtra,Mumbai,34523,33,Female,2023-05-12 00:00:00,Victim reported social media hack incident in Mumbai.,Closed
198,Online Shopping Fraud,Maharashtra,Nagpur,37676,19,Male,2023-03-14 00:00:00,Victim reported online shopping fraud incident in Nagpur.,Closed
199,KYC Scam,Maharashtra,Nagpur,15534,54,Male,2023-03-16 00:00:00,Victim reported kyc scam incident in Nagpur.,Under Investigation
200,Identity Theft,Maharashtra,Nagpur,23111,43,Female,2023-12-19 00:00:00,Victim reported identity theft incident in Nagpur.,Closed
201,Phishing,Maharashtra,Pune,37240,18,Male,2023-08-22 00:00:00,Victim reported phishing incident in Pune.,Under Investigation
202,Social Media Hack,Maharashtra,Mumbai,4610,33,Male,2023-07-13 00:00:00,Victim reported social media hack incident in Mumbai.,Under Investigation
203,Identity Theft,Maharashtra,Nagpur,43544,59,Male,2023-01-26 00:00:00,Victim reported identity theft incident in Nagpur.,Under Investigation
204,UPI Fraud,Maharashtra,Mumbai,46426,55,Male,2023-08-21 00:00:00,Victim reported upi fraud incident in Mumbai.,Closed
205,Identity Theft,Maharashtra,Mumbai,40618,41,Male,2023-08-11 00:00:00,Victim reported identity theft incident in Mumbai.,Open
206,KYC Scam,Maharashtra,Pune,14165,49,Male,2023-05-02 00:00:00,Victim reported kyc scam incident in Pune.,Under Investigation
207,Phishing,Maharashtra,Pune,25877,56,Male,2023-09-14 00:00:00,Victim reported phishing incident in Pune.,Open
